,id,date,from_id,to_id,fwd_from,message,type,duration
0,856584,2022-02-11 15:33:16+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Напиши ему,text,
1,856583,2022-02-11 15:32:52+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Можно ромчика позвать,text,
2,856413,2022-02-11 11:30:33+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Ок,text,
3,856412,2022-02-11 11:28:03+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Да,text,
4,856411,2022-02-11 11:27:34+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,В вс отмена значит?,text,
5,856410,2022-02-11 11:27:29+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Давай,text,
6,856409,2022-02-11 11:27:27+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Ну маху,text,
7,856408,2022-02-11 11:27:24+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,"А, понял",text,
8,856407,2022-02-11 11:27:23+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,А мы можем до скольки захочешь,text,
9,856406,2022-02-11 11:27:14+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Маша до 5,text,
10,856405,2022-02-11 11:27:08+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,До 5?,text,
11,856404,2022-02-11 11:27:05+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Да,text,
12,856403,2022-02-11 11:26:57+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Завтра?,text,
13,856402,2022-02-11 11:26:34+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Дрон?,text,
14,856401,2022-02-11 11:26:31+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Маша только до 5 может,text,
15,856400,2022-02-11 11:26:13+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Поняли,text,
16,856399,2022-02-11 11:26:09+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,так что я пас,text,
17,856398,2022-02-11 11:26:03+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,у меня у папы др завтра,text,
18,856397,2022-02-11 11:25:58+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Примерно на два,text,
19,856396,2022-02-11 11:25:50+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,А то у меня там планы,text,
20,856395,2022-02-11 11:25:46+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Вместо воскресенья,text,
21,856394,2022-02-11 11:25:40+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Пойти завтра в клуб настольных игр,text,
22,856393,2022-02-11 11:25:39+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,какое,text,
23,856392,2022-02-11 11:25:27+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Есть предложение,text,
24,856391,2022-02-11 11:25:24+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Хай,text,
25,850920,2022-01-29 15:02:24+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,😉,sticker,
26,850919,2022-01-29 15:02:24+00:00,PeerUser(user_id=463034736),PeerChat(chat_id=674628904),,кайфую,text,
27,850918,2022-01-29 15:02:11+00:00,PeerUser(user_id=463034736),PeerChat(chat_id=674628904),,"вау, смайлики из аськи🤤🤤🤤",text,
28,850917,2022-01-29 15:01:03+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,🥳,sticker,
29,850913,2022-01-29 14:32:48+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Да,text,
30,850912,2022-01-29 14:32:13+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Это приглашение?,text,
31,850911,2022-01-29 14:27:59+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Мы завтра будем у часу,text,
32,847302,2022-01-23 09:08:41+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Там много чего,text,
33,847301,2022-01-23 09:08:36+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Наверное нет,text,
34,847300,2022-01-23 09:08:33+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Не,text,
35,847299,2022-01-23 09:08:25+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,мне брать доминошки?,text,
36,846296,2022-01-21 11:20:01+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Ебать,text,
37,846295,2022-01-21 11:19:57+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Да да,text,
38,846294,2022-01-21 11:19:53+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Ножками,text,
39,846293,2022-01-21 11:19:53+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Тракер?,text,
40,846292,2022-01-21 11:19:50+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Рыле?,text,
41,846291,2022-01-21 11:19:44+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Про космос,text,
42,846290,2022-01-21 11:19:41+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Есть та настолка Насти,text,
43,846289,2022-01-21 11:19:37+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,"Мы ходили, там было 3 настолки",text,
44,846288,2022-01-21 11:19:31+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Бля,text,
45,846287,2022-01-21 11:19:28+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,"Ты в ирл ходил, или у них сайт?",text,
46,846286,2022-01-21 11:19:26+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Там завоз,text,
47,846285,2022-01-21 11:19:13+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Гоблин,text,
48,846284,2022-01-21 11:18:57+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,"Просто не смог найти настолочные, где за косарь продают",text,
49,846283,2022-01-21 11:18:44+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,"О, а можешь нашептать где?",text,
50,846282,2022-01-21 11:18:27+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Да,text,
51,846281,2022-01-21 11:16:05+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,заебись,text,
52,846280,2022-01-21 11:16:04+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Не проблема,text,
53,846279,2022-01-21 11:16:00+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Это ты на косарь купил?,text,
54,846278,2022-01-21 11:15:43+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Надо тестить будет,text,
55,846277,2022-01-21 11:15:34+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,,photo,
56,843920,2022-01-16 10:44:30+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,"О, пусть возьмёт",text,
57,843919,2022-01-16 10:42:46+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,которую ты на нг дарил когда то,text,
58,843918,2022-01-16 10:42:38+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,у Андрея ещё маленькая нкстолка,text,
59,843917,2022-01-16 10:42:31+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,хорошо,text,
60,843916,2022-01-16 10:42:27+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Нам хватит,text,
61,843915,2022-01-16 10:42:26+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,ок,text,
62,843914,2022-01-16 10:42:22+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Не,text,
63,843913,2022-01-16 10:42:19+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,Уно?,text,
64,843912,2022-01-16 10:42:18+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,хорошо,text,
65,843911,2022-01-16 10:42:06+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,А давай не космос а шакалов,text,
66,843910,2022-01-16 10:41:57+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Оо,text,
67,843909,2022-01-16 10:41:36+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,шакал и доминошки не нужны?,text,
68,843907,2022-01-16 10:39:53+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Ужасы и про космос,text,
69,843906,2022-01-16 10:39:35+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,вот перечень,text,
70,843905,2022-01-16 10:39:26+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,что мне брать?,text,
71,843904,2022-01-16 10:39:21+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,ещё раз,text,
72,843903,2022-01-16 10:20:31+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,,photo,
73,843890,2022-01-16 09:27:24+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,"Или взял, то будет неплохо",text,
74,843889,2022-01-16 09:27:17+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Если индейцев Наум возьмёт,text,
75,843888,2022-01-16 09:27:10+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Тогда ужас тащим,text,
76,843887,2022-01-16 09:27:01+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Тогда проще,text,
77,843886,2022-01-16 09:26:57+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,А,text,
78,843885,2022-01-16 09:26:46+00:00,PeerUser(user_id=463034736),PeerChat(chat_id=674628904),,не знаю у меня ничего.............,text,
79,843884,2022-01-16 09:26:39+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,огласите весь список пожалуйста,text,
80,843883,2022-01-16 09:26:28+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,а какие будут?,text,
81,843882,2022-01-16 09:26:20+00:00,PeerUser(user_id=463034736),PeerChat(chat_id=674628904),,не будут,text,
82,843881,2022-01-16 09:26:19+00:00,PeerUser(user_id=463034736),PeerChat(chat_id=674628904),,а,text,
83,843880,2022-01-16 09:26:14+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,"И если колонизаторы будут, то нам с головой хватит",text,
84,843879,2022-01-16 09:25:52+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Ну там тракер очень забавный,text,
85,843878,2022-01-16 09:25:16+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,да,text,
86,843877,2022-01-16 09:25:11+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Просто ужас это если мы садимся и играем только в ужас,text,
87,843876,2022-01-16 09:24:42+00:00,PeerUser(user_id=383661568),PeerChat(chat_id=674628904),,Есть такой момент,text,
88,843875,2022-01-16 09:24:21+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,"типа, я не думаю что мы до нее дойдем",text,
89,843874,2022-01-16 09:23:39+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,там 30 страниц))))),text,
90,843873,2022-01-16 09:23:35+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,я просто хз успеем ли мы хоть правила посмотреть,text,
91,843872,2022-01-16 09:23:31+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Бери,text,
92,843871,2022-01-16 09:23:22+00:00,PeerUser(user_id=337109408),PeerChat(chat_id=674628904),,"кста, что насчёт ужаса?",text,
93,843803,2022-01-16 06:31:17+00:00,PeerUser(user_id=428330492),PeerChat(chat_id=674628904),,Нет,text,
