,id,date,from_id,to_id,fwd_from,message,type,duration
0,1588,2022-02-16 09:35:15+00:00,,PeerChannel(channel_id=1754252633),,"Австралия призывает граждан покинуть Украину, но не пускает к себе людей с коронавирусом — СМИ. 

👉 Топор Live",text,
1,1587,2022-02-16 09:33:10+00:00,,PeerChannel(channel_id=1754252633),,"⚡️Путин получил обращение Госдумы о признании ЛНР и ДНР и принял к сведению — Кремль

👉 Топор Live",text,
2,1586,2022-02-16 09:15:24+00:00,,PeerChannel(channel_id=1754252633),,"⚡️Число заболевших коронавирусом в России за сутки — 179.284 человек.

— подтверждено 748 летальных исходов.

👉 Топор Live",photo,
3,1585,2022-02-16 08:57:52+00:00,,PeerChannel(channel_id=1754252633),,"В Москве обнаружили брошенных в квартире двух восьмимесячных мальчиков-близнецов, которых не кормили несколько дней. 

Отмечается, что родителей малышей ранее уже лишали родительских прав в отношении других детей.

👉 Топор Live",photo,
4,1584,2022-02-16 08:57:52+00:00,,PeerChannel(channel_id=1754252633),,,photo,
5,1583,2022-02-16 08:33:54+00:00,,PeerChannel(channel_id=1754252633),,"⚡️Киев не планирует агрессивных действий, в том числе на Донбассе и в Крыму – Минобороны Украины.

👉 Топор Live",text,
6,1582,2022-02-16 08:19:41+00:00,,PeerChannel(channel_id=1754252633),,"⚡️ВС Украины разместили более 20 танков у поселка Подлесное близ линии соприкосновения в Донбассе — Народная милиция ЛНР. 

👉 Топор Live",text,
7,1581,2022-02-16 08:01:42+00:00,,PeerChannel(channel_id=1754252633),,"⚡️«Американская разведка утверждает, что российские хакеры, широко проникли в военные, энергетические и другие критически важные компьютерные сети Украины для сбора разведданных и готовности нарушить работу этих систем в случае эскалации», — газета Washington Post со ссылкой на недавно рассекреченные данные разведки США.

👉 Топор Live",photo,
8,1580,2022-02-16 07:35:06+00:00,,PeerChannel(channel_id=1754252633),,"Вслед за Песковым иронично отреагировала на российское вторжение вна Украину и представитель МИД РФ Захарова:

«Просьба к средствам массовой дезинформации США и Британии: Bloomberg, The New York Times, The Sun итд - огласите график наших «вторжений» на предстоящий год, хотелось бы спланировать отпуск» — сказала Захарова.

👉 Топор Live",photo,
9,1579,2022-02-16 07:15:25+00:00,,PeerChannel(channel_id=1754252633),,"Зеленский поздравил украинцев с Днём народного единства. 

👉 Топор Live",video,67
10,1578,2022-02-16 06:52:59+00:00,,PeerChannel(channel_id=1754252633),"MessageFwdHeader(date=datetime.datetime(2022, 2, 16, 6, 48, 59, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerChannel(channel_id=1237513492), from_name=None, channel_post=26859, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)","Минцифры вводит налог для Steam, PlayStation и других магазинов в виде 5% налога на оборот, чтобы найти деньги для разработчиков игр про русский патриотизм.

Правительство планирует таким образом получать до 10 миллиардов рублей в год.

👉 Топор +18",photo,
