,id,date,from_id,to_id,fwd_from,message,type,duration
0,2313,2022-02-16 07:50:16+00:00,,PeerChannel(channel_id=1403879985),,"Одесса

Дыбилятко.ua",video,16
1,2311,2022-02-15 16:42:54+00:00,,PeerChannel(channel_id=1403879985),,"Versus в Днепре

Дыбилятко.ua",video,26
2,2310,2022-02-15 13:44:03+00:00,,PeerChannel(channel_id=1403879985),,"Активистка Femen оголились у опустевшего посольства США в Киеве

Своей акции показывают негативное отношение к нагнетанию ситуации вокруг Украины и России со стороны Запада. 

Дыбилятко.ua",video,49
3,2309,2022-02-15 13:02:01+00:00,,PeerChannel(channel_id=1403879985),,"Электричка Одесса-Колосовка

Дыбилятко.ua",video,37
4,2308,2022-02-15 12:00:09+00:00,,PeerChannel(channel_id=1403879985),,"ВИГРАВАЙ ПОДОРОЖ ДО ШОТЛАНДІЇ ВІД VBET 🔥

До вирішального матчу плейоф світового мундіалю проти збірної Шотландії Преміум-спонсор збірної України з футболу VBET розігрує дві подорожі до Глазго!

Ти можеш виграти:

🔴 2 путівки до Глазго з можливістю відвідати матч Шотландія - Україна.
🔴 2 перепустки на матч Шотландія - Україна
🔴 футболку збірної України з автографом гравця збірної бренд-амбасадора VBET Олександра Зінченка.

Матч плейоф Чемпіонату світу з футболу 2022 Шотландія - Україна відбудеться 24 березня у Глазго. 

‼️ Умови участі в розіграші за посиланням 👉 https://vbet.link/uoQWQT 

Будь ближче до збірної, вигравай подорож та підтримуй команду! 

Акція триває з 14 до 24 лютого 2022 року.",photo,
5,2307,2022-02-15 09:00:50+00:00,,PeerChannel(channel_id=1403879985),,"Полицейские поймали зумерков, которые сожгли чей-то новый бумер Х-7. 22-летний парень на машине ждал двух несовершеннолетних, которые подбежали к машине, облили ее бензином и подожгли.
Им светит до 10 лет тюрьмы.

Дыбилятко.ua",video,21
6,2305,2022-02-15 05:21:12+00:00,,PeerChannel(channel_id=1403879985),,,video,21
7,2304,2022-02-14 19:21:01+00:00,,PeerChannel(channel_id=1403879985),,,video,7
8,2303,2022-02-14 19:21:01+00:00,,PeerChannel(channel_id=1403879985),,"В Киеве малолетки с ""Флобером"" расхаживали по улице и приставали к прохожим. Вскоре их приняли копы

Дыбилятко.uа",video,12
9,2302,2022-02-14 18:13:44+00:00,,PeerChannel(channel_id=1403879985),,"В Мелитополе дети нюхают дорожки сахара и снимают всё это на видео

Дыбилятко.ua",video,175
10,2301,2022-02-14 15:13:48+00:00,,PeerChannel(channel_id=1403879985),,😳,photo,
