,id,date,from_id,to_id,fwd_from,message,type,duration
0,858389,2022-02-15 10:13:15+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,"Проект 1

Позбутись констант рядок: 60 (зробити присвоєння кваліфіковане відсилкою, оператор р.23 додати кваліфікатор, до селекторів і модифікаторів також)

Проект 2
Виконати усі функції класу calc
Compled змінився += на метод, що зміниться в мейні?
Майн.срр вгорі завдання
Обгортку робити на все, що тільки можна
Порівняти калькулятори

Проект 3",text,
1,858372,2022-02-15 09:45:09+00:00,PeerUser(user_id=855734991),PeerChat(chat_id=535772775),,гуртожиток наукма 🤙🏻,text,
2,858371,2022-02-15 09:44:37+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,@el_beasto найс в самолёте,text,
3,858370,2022-02-15 09:44:32+00:00,PeerUser(user_id=629737234),PeerChat(chat_id=535772775),,Кайф,text,
4,858369,2022-02-15 09:44:24+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,@el_beasto  микро -,text,
5,857719,2022-02-14 20:38:00+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,,text,
6,857717,2022-02-14 20:37:54+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,Могу ещё к этому докинуть практику 5ую. Я там сделал в первом проекте первые 2 пункта и в 3ем проекте добавил тип ошибки,text,
7,857712,2022-02-14 20:36:57+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,"Проект 1
Time.h переписати модифікатори (стрічки 31-33) 
Зробити <<
Зробити конвертування в дабл

Проект 2
IndexedVector.h
Реалізувати +=

IndexedVarVector.h
Зверху є завдання
Зробити в + та * перевірки на довжини, чи вони однакові
 
Проект 3
В Array.h реалізувати те, чого там не вистачає в спп
Зробити так, щоб bad array знав тип помилки",text,
8,857711,2022-02-14 20:36:49+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,"Я тут немного поздновато кидаю, но лучше чем ничего)))",text,
9,855046,2022-02-08 10:31:08+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,Ок,text,
10,855043,2022-02-08 10:30:40+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,"Я сейчас немного занят. Запись есть, вечером быстро пробегусь и скину, что бублик говорит записывать",text,
11,854972,2022-02-07 21:39:53+00:00,PeerUser(user_id=336314102),PeerChat(chat_id=535772775),,"Якщо комусь потрібно, я знайшла - проект 01",text,
12,854971,2022-02-07 21:22:40+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,++...,text,
13,854970,2022-02-07 21:22:30+00:00,PeerUser(user_id=336314102),PeerChat(chat_id=535772775),,шкода...,text,
14,854969,2022-02-07 21:22:08+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,Привет) я не помню....,text,
15,854968,2022-02-07 21:19:19+00:00,PeerUser(user_id=336314102),PeerChat(chat_id=535772775),,Привіт) Бублик казав в якомусь проекті з практики підрахувати кількість копій об'єктів. Хтось пам'ятає в якому проекті?,text,
16,848670,2022-01-25 10:16:51+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,,text,
17,848669,2022-01-25 10:16:45+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,"Дз:

1) Застосування заголовного файла vs попереднє оголошення 
(4 приклади у проекті 2 є)

2) Розібратись як відкривати діаграми класів у студії

3) Переписати функцію hire на більш гарний код за допомогою додаткового классу (проект 3)

4) Дописать в класс FOO вызов функции check",text,
18,848668,2022-01-25 09:48:01+00:00,PeerUser(user_id=855734991),PeerChat(chat_id=535772775),,до сліз,text,
19,848667,2022-01-25 09:47:59+00:00,PeerUser(user_id=855734991),PeerChat(chat_id=535772775),,бля,text,
20,848666,2022-01-25 09:46:38+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,Давай,text,
21,848665,2022-01-25 09:46:30+00:00,PeerUser(user_id=855734991),PeerChat(chat_id=535772775),,йду,text,
22,848664,2022-01-25 09:46:16+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,@el_beasto ты где,text,
23,848645,2022-01-25 09:36:05+00:00,PeerUser(user_id=656312228),PeerChat(chat_id=535772775),,"І скажіть пж, що я запізнюсь хвилин на 10",text,
24,848644,2022-01-25 09:28:28+00:00,PeerUser(user_id=687038668),PeerChat(chat_id=535772775),,Окк,text,
25,848643,2022-01-25 09:27:41+00:00,PeerUser(user_id=1379932460),PeerChat(chat_id=535772775),,Якщо бублик спитає то скажіть що в мене трабли з тімсом і він ігнорить мій інет.,text,
26,844656,2022-01-18 11:07:49+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,,text,
27,844651,2022-01-18 11:05:15+00:00,PeerUser(user_id=336314102),PeerChat(chat_id=535772775),,"ДЗ проект OOP2
Дописати в  Complex пересувне та копіювальне присвоювання. Упевнитись що в пересувному 0 сенсу
* Подивитись як тоді працюватиме +, коли в сигнатурі const Complex
* Прибрати const Complex і придумати як зробити присвоєння, щоб воно його неможна було некоректно використати

+ глянути в проектах попередньої практики на Constructor і розібратись, як воно працює",text,
28,844644,2022-01-18 09:52:17+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,Справедливо,text,
29,844643,2022-01-18 09:51:25+00:00,PeerUser(user_id=855734991),PeerChat(chat_id=535772775),,привіт передавав,text,
30,844642,2022-01-18 09:51:21+00:00,PeerUser(user_id=855734991),PeerChat(chat_id=535772775),,на тебе бубел биканув,text,
31,844641,2022-01-18 09:45:25+00:00,PeerUser(user_id=629737234),PeerChat(chat_id=535772775),,Дякую ☺️,text,
32,844615,2022-01-18 09:41:13+00:00,PeerUser(user_id=855734991),PeerChat(chat_id=535772775),,я теж,text,
33,844614,2022-01-18 09:39:50+00:00,PeerUser(user_id=336314102),PeerChat(chat_id=535772775),,"ок, я передам",text,
34,844613,2022-01-18 09:39:21+00:00,PeerUser(user_id=629737234),PeerChat(chat_id=535772775),,"Всем привет, я немного опоздаю, если будет перекличка",text,
35,844588,2022-01-18 08:48:20+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,За меня тоже пж,text,
36,844585,2022-01-18 08:32:53+00:00,PeerUser(user_id=463034736),PeerChat(chat_id=535772775),,дякую!,text,
37,844584,2022-01-18 08:32:41+00:00,PeerUser(user_id=336314102),PeerChat(chat_id=535772775),,Окей,text,
38,844583,2022-01-18 08:32:26+00:00,PeerUser(user_id=463034736),PeerChat(chat_id=535772775),,"привіт! можете сказати бублику, що мене не буде? і щоб запис включив",text,
39,843908,2022-01-16 10:41:11+00:00,PeerUser(user_id=336314102),PeerChat(chat_id=535772775),,"Привіт
Хтось знає, що це означає і де цей вектор є?",text,
40,842619,2022-01-11 11:02:30+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,,text,
41,842618,2022-01-11 11:02:13+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,Дописать Rev_Vector_h что бы вынести ф-ции наружу,text,
42,842617,2022-01-11 11:01:57+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,Revers vector какой-то дописать,text,
43,842616,2022-01-11 11:01:47+00:00,PeerUser(user_id=455550602),PeerChat(chat_id=535772775),,Там 2ой пункт я скипнул,text,
44,842615,2022-01-11 11:01:43+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,Что,text,
45,842614,2022-01-11 11:01:41+00:00,PeerUser(user_id=332402450),PeerChat(chat_id=535772775),,Ахах,text,
